ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e20 cm^-2)
0,1,56,79.99,-11.61,213.28,-25.51,20.15,-63.07,-132.19,1.51,12.39,5.83,0.0
8,106,461,77.36,-1.49,202.07,-23.25,24.86,-70.72,-127.09,1.06,8.69,9.95,0.0
9,71,490,78.24,-0.76,201.85,-22.14,7.07,-56.83,-210.44,1.07,8.78,4.6,0.0
18,610,577,64.76,1.41,191.86,-32.53,21.53,-57.04,-78.19,0.74,6.06,3.95,0.0
171,793,401,60.19,-2.99,193.28,-38.77,6.45,-62.47,-167.91,1.42,11.67,4.78,0.0
236,389,572,70.29,1.29,195.45,-27.95,2.87,-61.06,-190.23,0.72,5.86,3.95,0.0
285,349,579,71.29,1.46,195.87,-27.01,47.87,-80.38,-139.73,1.76,14.44,11.12,0.0
291,482,325,67.96,-4.89,200.24,-33.1,3.98,-62.47,-43.53,0.61,4.99,4.02,0.0
404,434,466,69.16,-1.36,197.36,-30.3,4.32,-69.11,-18.37,0.74,6.01,5.2,0.0
444,548,532,66.31,0.29,193.97,-31.85,5.52,-66.29,-210.52,1.04,8.5,7.19,0.0
515,390,478,70.26,-1.06,197.72,-29.2,22.21,-83.81,-110.68,0.81,6.58,7.03,0.0
521,76,449,78.11,-1.79,202.75,-22.74,7.62,-72.53,-232.09,0.86,6.99,8.04,0.0
614,650,379,63.76,-3.54,196.25,-36.04,5.79,-81.59,-101.32,0.68,5.56,11.62,0.0
639,432,478,69.21,-1.06,197.1,-30.1,4.35,-69.92,-29.38,0.65,5.33,4.63,0.0
652,66,413,78.36,-2.69,203.74,-22.95,7.03,-77.97,-134.38,1.03,8.45,8.71,0.0
722,93,419,77.69,-2.54,203.24,-23.48,13.82,-89.84,-105.35,1.0,8.16,10.78,0.0
865,52,423,78.71,-2.44,203.68,-22.53,5.97,-77.77,-172.34,0.75,6.09,6.66,0.0
1025,223,573,74.44,1.31,197.82,-24.4,17.36,-83.81,-68.2,1.17,9.61,11.69,0.0
1596,382,532,70.46,0.29,196.52,-28.33,8.94,-84.81,-301.46,1.35,11.04,3.62,0.0
7230,487,436,67.84,-2.11,197.32,-31.82,7.34,-128.09,-13.45,1.07,8.73,9.57,0.0
0,733,61,81.69,-11.49,213.93,-23.94,63.64,-77.16,-53.24,2.38,19.68,8.34,0.0
14,595,182,85.14,-8.46,212.55,-19.58,26.71,-70.52,-215.55,2.13,17.64,9.75,0.0
16,646,329,83.86,-4.79,208.46,-19.07,5.71,-60.66,132.33,1.01,8.33,5.6,0.0
1172,589,115,85.29,-10.14,214.22,-20.17,13.11,-89.44,-58.57,1.23,10.16,8.85,0.0
17172,203,4,94.94,-12.91,221.04,-12.79,4.75,150.49,344.62,0.67,6.23,4.6,0.0
17256,219,160,94.54,-9.01,217.28,-11.46,8.55,143.04,95.45,1.06,9.79,7.45,0.0
19141,16,214,99.61,-7.66,218.31,-6.36,45.57,114.06,-105.18,1.1,10.23,6.82,0.0
19244,92,213,97.71,-7.69,217.48,-8.05,4.29,130.56,159.18,0.67,6.22,4.27,0.0
19261,91,13,97.74,-12.69,222.04,-10.23,27.46,118.69,-10.27,1.13,10.47,8.06,0.0
19607,96,35,97.61,-12.14,221.48,-10.1,6.57,122.71,-48.4,0.79,7.33,8.32,0.0
1357,596,352,105.11,-4.21,217.71,0.08,3.09,270.05,93.27,2.8,26.27,31.97,0.0
20085,54,10,118.66,-12.76,231.64,7.8,3.96,159.75,150.29,0.87,8.17,6.26,0.0
20179,417,203,109.59,-7.94,223.07,2.31,19.41,146.66,148.59,1.73,16.23,10.06,0.0
20358,99,62,117.54,-11.46,229.95,7.49,7.87,152.5,107.98,1.04,9.71,7.43,0.0
20852,102,45,117.46,-11.89,230.28,7.22,6.89,150.29,44.4,0.68,6.36,3.7,0.0
20962,169,10,115.79,-12.76,230.23,5.36,12.93,136.4,32.25,1.53,14.34,8.56,0.0
21147,180,38,115.51,-12.06,229.49,5.47,3.7,143.44,120.47,0.8,7.47,7.75,0.0
21333,139,59,116.54,-11.54,229.52,6.6,6.51,132.37,93.52,0.81,7.56,7.71,0.0
21649,2,39,119.96,-12.04,231.65,9.26,7.67,132.57,292.1,1.33,12.49,6.85,0.0
21689,148,3,116.31,-12.94,230.64,5.72,5.51,138.61,-41.08,0.66,6.12,5.21,0.0
22186,193,3,115.19,-12.94,230.1,4.77,5.73,136.6,128.28,0.69,6.44,4.91,0.0
22205,400,190,110.01,-8.26,223.55,2.53,5.78,133.38,219.31,0.7,6.52,4.93,0.0
41651,714,58,122.16,-11.56,232.36,11.35,20.35,139.01,129.73,1.32,12.14,4.48,0.01
41792,633,564,124.19,1.09,222.02,19.41,6.11,140.22,300.8,0.7,6.47,4.11,0.01
