ID,XPEAK (pix),YPEAK (pix),RA (deg),DEC (deg),GLON (deg),GLAT (deg),SIZE ('),VLSR (km/s),VGSR (km/s),TPKB (K),SNR,FWHM (km/s),N_HI (1e18 cm^-2)
0,1,56,79.99,-11.61,213.28,-25.51,20.15,-63.07,-132.19,1.51,12.39,5.83,9.7
8,106,461,77.36,-1.49,202.07,-23.25,24.86,-70.72,-127.09,1.06,8.69,9.95,32.37
9,71,490,78.24,-0.76,201.85,-22.14,7.07,-56.83,-210.44,1.07,8.78,4.6,14.32
18,610,577,64.76,1.41,191.86,-32.53,21.53,-57.04,-78.19,0.74,6.06,3.95,8.76
171,793,401,60.19,-2.99,193.28,-38.77,6.45,-62.47,-167.91,1.42,11.67,4.78,13.94
236,389,572,70.29,1.29,195.45,-27.95,2.87,-61.06,-190.23,0.72,5.86,3.95,5.6
285,349,579,71.29,1.46,195.87,-27.01,47.87,-80.38,-139.73,1.76,14.44,11.12,60.42
291,482,325,67.96,-4.89,200.24,-33.1,3.98,-62.47,-43.53,0.61,4.99,4.02,4.97
404,434,466,69.16,-1.36,197.36,-30.3,4.32,-69.11,-18.37,0.74,6.01,5.2,8.8
444,548,532,66.31,0.29,193.97,-31.85,5.52,-66.29,-210.52,1.04,8.5,7.19,9.49
515,390,478,70.26,-1.06,197.72,-29.2,22.21,-83.81,-110.68,0.81,6.58,7.03,19.42
521,76,449,78.11,-1.79,202.75,-22.74,7.62,-72.53,-232.09,0.86,6.99,8.04,20.11
614,650,379,63.76,-3.54,196.25,-36.04,5.79,-81.59,-101.32,0.68,5.56,11.62,20.28
639,432,478,69.21,-1.06,197.1,-30.1,4.35,-69.92,-29.38,0.65,5.33,4.63,5.21
652,66,413,78.36,-2.69,203.74,-22.95,7.03,-77.97,-134.38,1.03,8.45,8.71,20.14
722,93,419,77.69,-2.54,203.24,-23.48,13.82,-89.84,-105.35,1.0,8.16,10.78,29.15
865,52,423,78.71,-2.44,203.68,-22.53,5.97,-77.77,-172.34,0.75,6.09,6.66,12.58
1025,223,573,74.44,1.31,197.82,-24.4,17.36,-83.81,-68.2,1.17,9.61,11.69,33.49
1596,382,532,70.46,0.29,196.52,-28.33,8.94,-84.81,-301.46,1.35,11.04,3.62,4.89
7230,487,436,67.84,-2.11,197.32,-31.82,7.34,-128.09,-13.45,1.07,8.73,9.57,28.12
11827,519,488,67.04,-0.81,195.52,-31.82,5.38,-140.17,-3.41,0.76,6.21,3.58,4.39
